roll,mean,std,marginal,s1_prob,s2_prob,s3_ot_remaining,n_s3_ot_total,p1,p5,p10,p25,p50,p75,p90,p95,p99
107,726.8156,157.3709,11.6643,1.000000,1.000000,708.87,737,502.00,544.00,569.00,615.00,682.00,816.00,948.00,1020.00,1222.00
108,738.4604,159.1031,11.6448,1.000000,1.000000,708.61,737,512.00,553.00,578.00,625.00,693.00,831.00,960.00,1035.00,1237.00
109,749.9766,160.6936,11.5162,1.000000,1.000000,708.35,737,520.00,562.00,587.00,635.00,704.00,846.00,973.00,1050.00,1250.00
110,761.4491,162.4475,11.4725,1.000000,1.000000,708.08,737,529.00,571.00,597.00,645.00,715.00,860.00,986.00,1065.00,1265.00
111,773.1374,163.9646,11.6883,1.000000,1.000000,707.82,737,538.00,581.00,606.00,655.00,726.00,874.00,999.00,1079.00,1279.01
112,784.7582,165.6017,11.6208,1.000000,1.000000,707.56,737,547.00,590.00,616.00,665.00,737.00,888.00,1011.00,1094.00,1293.00
113,796.4543,167.1875,11.6960,1.000000,1.000000,707.29,737,556.00,599.00,626.00,675.00,748.00,902.00,1024.00,1109.00,1307.00
114,808.0552,168.8087,11.6010,1.000000,1.000000,707.03,737,565.00,609.00,635.00,685.00,759.00,915.00,1037.00,1125.00,1321.00
115,819.7815,170.3911,11.7262,1.000000,1.000000,706.76,737,574.00,618.00,645.00,695.00,771.00,929.00,1049.00,1140.00,1336.00
116,831.3712,171.8903,11.5897,1.000000,1.000000,706.50,737,583.00,628.00,654.00,705.00,782.00,942.00,1062.00,1155.00,1350.00
117,842.9384,173.4108,11.5672,1.000000,1.000000,706.24,737,592.00,637.00,664.00,715.00,793.00,955.00,1075.00,1171.00,1363.00
118,854.5644,174.8766,11.6260,1.000000,1.000000,705.98,737,601.00,646.00,673.00,725.00,805.00,968.00,1088.00,1186.00,1378.00
119,866.2647,176.3960,11.7003,1.000000,1.000000,705.71,737,610.00,656.00,683.00,735.00,816.00,981.00,1101.00,1202.00,1392.00
120,877.8712,177.8901,11.6066,1.000000,1.000000,705.45,737,619.00,665.00,692.00,745.00,828.00,994.00,1114.00,1218.00,1406.00
121,889.5781,179.3327,11.7069,1.000000,1.000000,705.18,737,628.00,674.00,702.00,755.00,839.00,1007.00,1127.00,1234.00,1422.00
